Film,Année,Catégorie,Genre,Durée (min),Metascore,Score imdb,Nb votes,CA(gross)
X-Men: L'affrontement final,2006,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",104,58,67.0,478062,234362462
Pirates des Caraïbes : La Fontaine de jouvence,2011,Tous publics,"['Action', 'Adventure', 'Fantasy']",137,45,66.0,475614,241063875
Gatsby le magnifique,2013,Tous publics,"['Drama', 'Romance']",143,55,72.0,470853,144840419
Harry Potter et les reliques de la mort: Partie 1,2010,Tous publics,"['Adventure', 'Family', 'Fantasy']",146,65,77.0,468943,295983305
Le Hobbit: La Bataille des Cinq Armées,2014,Tous publics,"['Adventure', 'Fantasy']",144,59,74.0,467562,255119788
500 jours ensemble,2009,Tous publics,"['Comedy', 'Drama', 'Romance']",95,76,77.0,467488,32391374
Deadpool 2,2018,12,"['Action', 'Adventure', 'Comedy']",119,66,77.0,467361,324591735
Ex Machina,2014,Tous publics avec avertissement,"['Drama', 'Sci-Fi', 'Thriller']",108,78,77.0,466934,25442958
"Crazy, Stupid, Love",2011,Tous publics,"['Comedy', 'Drama', 'Romance']",118,68,74.0,466273,84351197
Harry Potter et le prince de sang-mêlé,2009,Tous publics,"['Action', 'Adventure', 'Family']",153,78,76.0,464209,301959197
X-Men Origins: Wolverine,2009,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",107,40,66.0,462548,179883157
Pacific Rim,2013,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",131,65,69.0,461956,101802906
Star Trek Into Darkness,2013,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",132,72,77.0,460168,228778661
Les Fils de l'homme,2006,Tous publics avec avertissement,"['Adventure', 'Drama', 'Sci-Fi']",109,84,79.0,460088,35552383
Very Bad Trip 2,2011,Tous publics,['Comedy'],102,44,64.0,459151,254464305
Hot Fuzz,2007,Tous publics,"['Action', 'Comedy', 'Mystery']",121,81,78.0,457943,23637265
Le monde de Charlie,2012,Tous publics,"['Drama', 'Romance']",103,67,80.0,455616,17738570
Night Call,2014,Tous publics,"['Crime', 'Drama', 'Thriller']",117,76,79.0,455543,32381218
Zodiac,2007,Tous publics,"['Crime', 'Drama', 'Mystery']",157,78,77.0,453241,33080084
Mission: Impossible - Protocole fantôme,2011,Tous publics,"['Action', 'Adventure', 'Thriller']",132,73,74.0,452723,209397903
Ça,2017,12,['Horror'],135,69,73.0,450520,327481748
Blade Runner 2049,2017,Tous publics avec avertissement,"['Action', 'Drama', 'Mystery']",164,81,80.0,449234,92054159
L'effet papillon,2004,12,"['Drama', 'Sci-Fi', 'Thriller']",113,30,76.0,446976,57938693
Mr. & Mrs. Smith,2005,Tous publics,"['Action', 'Comedy', 'Crime']",120,55,65.0,444993,186336279
American Bluff,2013,Tous publics,"['Crime', 'Drama']",138,90,72.0,443481,150117807
Matrix Revolutions,2003,Tous publics avec avertissement,"['Action', 'Sci-Fi']",129,47,68.0,442418,139313948
À la recherche du bonheur,2006,Tous publics,"['Biography', 'Drama']",117,64,80.0,441373,163566459
Hancock,2008,Tous publics,"['Action', 'Fantasy']",92,49,64.0,440221,227946274
Bohemian Rhapsody,2018,Tous publics,"['Biography', 'Drama', 'Music']",134,49,80.0,439506,216428042
Lucy,2014,Tous publics avec avertissement,"['Action', 'Sci-Fi', 'Thriller']",89,61,64.0,439167,126663600
Conjuring: Les dossiers Warren,2013,12,"['Horror', 'Mystery', 'Thriller']",112,68,75.0,435936,137400141
L'âge de glace,2002,Tous publics,"['Animation', 'Adventure', 'Comedy']",81,60,75.0,435356,176387405
Little Miss Sunshine,2006,Tous publics,"['Comedy', 'Drama']",101,80,78.0,434895,59891098
Dallas Buyers Club,2013,Tous publics,"['Biography', 'Drama']",117,80,80.0,434131,27298285
American Sniper,2014,Tous publics,"['Action', 'Biography', 'Drama']",133,72,73.0,433626,350126372
Warrior,2011,Tous Public,"['Action', 'Drama', 'Sport']",140,71,82.0,430823,13657115
La mort dans la peau,2004,Tous publics,"['Action', 'Mystery', 'Thriller']",108,73,77.0,429904,176241941
Captain Marvel,2019,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",123,64,69.0,428973,426829839
Baby Driver,2017,Tous publics,"['Action', 'Crime', 'Music']",113,86,76.0,428912,107825862
L'incroyable Hulk,2008,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",112,61,67.0,428894,134518390
Rush,2013,Tous publics,"['Action', 'Biography', 'Drama']",123,74,81.0,426736,26947624
Zootopie,2016,Tous publics,"['Animation', 'Adventure', 'Comedy']",108,78,80.0,425854,341268248
Wolverine: Le combat de l'immortel,2013,Tous publics avec avertissement,"['Action', 'Adventure', 'Sci-Fi']",126,61,67.0,425145,132556852
Tu ne tueras point,2016,12,"['Biography', 'Drama', 'History']",139,71,81.0,424878,67209615
La couleur des sentiments,2011,Tous publics,['Drama'],146,62,80.0,422755,169708112
Twilight: Chapitre 1 - Fascination,2008,Tous publics,"['Drama', 'Fantasy', 'Romance']",122,56,52.0,421964,191465414
Divergente,2014,Tous publics,"['Action', 'Adventure', 'Mystery']",139,48,67.0,421549,150947895
Charlie et la chocolaterie,2005,Tous publics,"['Adventure', 'Comedy', 'Family']",115,72,66.0,421318,206459076
Indiana Jones et le royaume du crâne de cristal,2008,Tous publics,"['Action', 'Adventure']",122,65,61.0,420169,317101119
Fury,2014,12,"['Action', 'Drama', 'War']",134,64,76.0,419083,85817906
3 Billboards: Les panneaux de la vengeance,2017,Tous publics,"['Comedy', 'Crime', 'Drama']",115,88,82.0,419002,54513740
Comment tuer son boss?,2011,Tous publics,"['Comedy', 'Crime']",98,57,69.0,418246,117538559
Love Actually,2003,Tous publics,"['Comedy', 'Drama', 'Romance']",135,55,76.0,418149,59696144
Démineurs,2008,Tous publics,"['Drama', 'Thriller', 'War']",131,95,76.0,416786,17017811
Collision,2004,Tous publics,"['Crime', 'Drama', 'Thriller']",112,66,77.0,416751,54580300
Sherlock Holmes: Jeu d'ombres,2011,Tous publics,"['Action', 'Adventure', 'Mystery']",129,48,75.0,416685,186848418
Elysium,2013,Tous publics avec avertissement,"['Action', 'Drama', 'Sci-Fi']",109,61,66.0,415877,93050117
Capitaine Phillips,2013,Tous publics,"['Adventure', 'Biography', 'Crime']",134,82,78.0,415432,107100855
Millénium: Les hommes qui n'aimaient pas les femmes,2011,12,"['Crime', 'Drama', 'Mystery']",158,71,78.0,415340,102515793
Mystic River,2003,12,"['Crime', 'Drama', 'Mystery']",138,84,79.0,414398,90135191
Split,2016,12,"['Horror', 'Thriller']",117,62,73.0,413854,138291365
Shrek 2,2004,Tous publics,"['Animation', 'Adventure', 'Comedy']",93,75,72.0,413676,436471036
Kung Fu Panda,2008,Tous publics,"['Animation', 'Action', 'Adventure']",92,74,75.0,413376,215434591
The Amazing Spider-Man: Le destin d'un héros,2014,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",142,53,66.0,412098,202853933
Spotlight,2015,Tous publics,"['Biography', 'Crime', 'Drama']",129,93,81.0,411867,45055776
Le Labyrinthe,2014,Tous publics avec avertissement,"['Action', 'Mystery', 'Sci-Fi']",113,57,68.0,411829,102427862
La guerre des mondes,2005,Tous publics,"['Adventure', 'Sci-Fi', 'Thriller']",116,73,65.0,411602,234280354
À couteaux tirés,2019,Tous publics,"['Comedy', 'Crime', 'Drama']",130,82,79.0,411567,165359751
Big Fish,2003,Tous Public,"['Adventure', 'Drama', 'Fantasy']",125,58,80.0,411252,66257002
Le jour d'après,2004,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",124,47,64.0,410944,186740799
La Planète des singes : L'Affrontement,2014,Tous publics,"['Action', 'Adventure', 'Drama']",130,79,76.0,408508,208545589
Hunger Games: La Révolte - Partie 1,2014,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",123,64,66.0,408295,337135885
Lost in Translation,2003,Tous publics,"['Comedy', 'Drama']",102,89,77.0,408036,44585453
Les Nouveaux Héros,2014,Tous publics,"['Animation', 'Action', 'Adventure']",102,74,78.0,404577,222527828
Les animaux fantastiques,2016,Tous publics,"['Adventure', 'Family', 'Fantasy']",132,66,73.0,403191,234037575
Quantum of Solace,2008,Tous publics,"['Action', 'Adventure', 'Thriller']",106,58,66.0,400837,168368427
Le terminal,2004,Tous publics,"['Comedy', 'Drama', 'Romance']",128,55,74.0,400231,77872883
Gangs of New York,2002,12,"['Crime', 'Drama']",167,72,75.0,400094,77812000
Raiponce,2010,Tous publics,"['Animation', 'Adventure', 'Comedy']",100,71,77.0,399679,200821936
Sans un bruit,2018,12,"['Drama', 'Horror', 'Sci-Fi']",90,82,75.0,398847,188024361
"Les Miller, une famille en herbe",2013,Tous publics,"['Comedy', 'Crime']",110,44,70.0,398611,150394119
Une merveilleuse histoire du temps,2014,Tous publics,"['Biography', 'Drama', 'Romance']",123,72,77.0,396631,35893537
Da Vinci Code,2006,Tous publics,"['Mystery', 'Thriller']",149,46,66.0,395463,217536138
Le dernier samouraï,2003,Tous publics,"['Action', 'Drama']",154,55,77.0,395339,111110575
